id;provincia;Poblacion;Codigo
ARA;Salta;1117163;AR-A
ARB;Buenos Aires;14911542;AR-B
ARC;Ciudad de Buenos Aires;2890151;AR-C
ARD;San Luis;410669;AR-D
ARE;Entre Ríos;1119919;AR-E
ARF;La Rioja;319248;AR-F
ARG;Santiago del Estero;671932;AR-G
ARH;Chaco;927414;AR-H
ARJ;San Juan;631000;AR-J
ARK;Catamarca;343343;AR-K
ARL;La Pampa;302570;AR-L
ARM;Mendoza;1654993;AR-M
ARN;Misiones;836097;AR-N
ARP;Formosa;452714;AR-P
ARQ;Neuquén;522527;AR-Q
ARR;Río Negro;596964;AR-R
ARS;Santa Fe;3055611;AR-S
ART;Tucumán;1210114;AR-T
ARU;Chubut;490554;AR-U
ARV;Tierra del Fuego;125823;AR-V
ARW;Corrientes;857994;AR-W
ARX;Córdoba;3139606;AR-X
ARY;Jujuy;628141;AR-Y
ARZ;Santa Cruz;268436;AR-Z
